text,y
UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,2
UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,2
Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,0
Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,0
Petrofac books further Â£30m cost for Shetland gas terminal delays,0
Petrofac share price rises despite Â£30m costs on North Sea project,2
Whitbread boss Andy Harrison defends sales fall as 'just a blip',0
Barclays share price subdued as bank faces fresh forex probe,0
CompaniesActelion shares hit record on Shire takeover talk,2
CompaniesActelion shares hit record on Shire takeover talk,2
"FDA approves NPS drug, in move validating Shire takeover deal",2
LSE gets Hong Kong regulatory nod to HK firms to become LSE members,2
Diageo Shares Surge on Report of Possible Takeover by Lemann,2
RBS chairman admits surprise at size of regulatory penalties,0
RSA Insurance Hires Towergate's Egan as Chief Financial Officer,1
Johnson Matthey raises prospect of investor payout,2
InterContinental Hotels Denies Reports of Starwood Merger Talks,0
REFILE-Hikma and Barclays help Britain's FTSE to climb higher,2
Ocwen Reaches Settlement With California Regulator,2
FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,2
AstraZeneca suffers setback after drug fails to treat eye cancer,0
British American Tobacco first-half sales hurt by currency moves,0
Zurich Insurance Considering Offer for UK Rival RSA Insurance,2
Japan's Nikkei lands Financial Times in $1.3 billion deal,2
"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",0
"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",0
"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",0
UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,2
Sainsbury sells unit to LloydsPharmacy,2
BAE Systems's sales boosted by European Typhoon and currencies,2
"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims",0
